DateKey,TimeKey,ApparentTemperature,AirTemperature,DewPointTemperature,RelativeHumidity
20220803,193000,12.6,14.8,10.8,77.0
20220803,200000,12.6,14.4,10.8,79.0
20220803,203000,11.6,14.2,10.8,80.0
20220803,210000,11.4,14.0,10.8,81.0
20220803,213000,10.9,13.4,11.1,86.0
20220803,220000,11.1,13.5,11.4,87.0
20220803,223000,11.2,14.0,11.5,85.0
20220803,230000,10.9,14.2,11.5,84.0
20220803,233000,10.8,14.0,11.3,84.0
20220804,0,11.0,14.2,11.4,83.0
20220804,3000,11.1,14.7,11.7,82.0
20220804,10000,11.8,14.8,11.8,82.0
20220804,13000,12.3,15.2,12.2,82.0
20220804,20000,12.6,14.1,11.8,86.0
20220804,23000,11.7,13.4,11.3,87.0
20220804,30000,11.7,13.3,11.7,90.0
20211018,33000,4.2,6.2,6.1,99.0
20211018,40000,3.4,5.6,5.5,99.0
20211018,43000,3.6,5.7,5.6,99.0
20211018,50000,4.3,6.5,6.4,99.0
20211018,53000,5.2,7.2,7.1,99.0
20211018,60000,5.7,7.6,7.5,99.0
20211018,63000,5.9,7.8,7.7,99.0
20211018,70000,6.4,8.5,8.4,99.0
20211018,73000,7.3,9.2,9.1,99.0
20211018,80000,7.8,10.0,9.5,97.0
20211018,83000,9.2,11.2,10.0,92.0
20211018,90000,10.2,12.8,9.4,80.0
20211018,93000,12.4,14.9,9.7,71.0
20211018,100000,13.1,15.7,9.4,66.0
20211018,103000,13.9,16.3,9.9,66.0
20211018,110000,15.6,17.4,10.8,65.0
20211018,113000,15.7,17.9,10.8,63.0
20211018,120000,16.4,18.8,11.4,62.0
20211018,123000,17.4,19.6,12.1,62.0
20211018,130000,16.5,18.8,11.6,63.0
20211018,133000,15.8,19.0,11.8,63.0
20211018,140000,18.9,20.2,13.6,66.0
20211018,143000,19.0,20.3,13.7,66.0
20211018,150000,19.3,20.6,13.8,65.0
20211018,153000,19.7,21.0,13.7,63.0
20211018,160000,20.0,20.5,13.9,66.0
20211018,163000,20.2,20.2,14.3,69.0
20211018,170000,21.0,19.8,14.8,73.0
20211018,173000,15.0,18.3,11.6,65.0
20211018,180000,15.0,18.1,10.2,60.0
20211018,183000,14.6,17.5,9.7,60.0
20211018,190000,15.5,18.1,9.5,57.0
20211018,193000,13.8,16.0,9.4,65.0
20211018,200000,13.2,14.4,10.4,77.0
20211018,203000,9.7,14.0,9.4,74.0
20211018,210000,8.3,13.5,9.0,74.0
20211018,213000,9.2,13.5,9.2,75.0
20211018,220000,10.0,13.3,9.4,77.0
20211018,223000,9.4,12.8,9.1,78.0
20211018,230000,9.1,12.6,8.7,77.0
20211018,233000,7.4,11.5,7.8,78.0
20211019,0,7.0,10.7,7.8,82.0
20211019,3000,6.6,10.0,7.8,86.0
20211019,10000,6.2,9.9,8.0,88.0
20211019,13000,5.7,9.7,8.1,90.0
20211019,20000,5.4,9.4,8.2,92.0
20211019,23000,5.4,9.4,8.3,93.0
20211019,30000,5.4,9.1,7.9,92.0
20211019,33000,5.3,8.7,7.5,92.0
20211019,40000,4.5,8.4,7.3,93.0
20211019,43000,4.2,8.1,7.0,93.0
20211019,50000,4.6,8.1,7.0,93.0
20211019,53000,4.3,7.3,6.2,93.0
20211019,60000,3.2,7.3,6.2,93.0
20211019,63000,3.5,7.0,5.6,91.0
20211019,70000,3.5,7.2,6.5,95.0
20211019,73000,4.5,8.3,7.4,94.0
20211019,80000,6.3,10.0,8.1,88.0
20211019,83000,7.8,11.9,7.8,76.0
20211019,90000,8.7,12.9,7.4,69.0
20211019,93000,8.3,13.9,7.0,63.0
20211019,100000,8.6,14.5,7.3,62.0
20211019,103000,8.8,15.2,7.0,58.0
20211019,110000,9.9,15.6,6.6,55.0
20211019,113000,10.7,16.2,7.4,56.0
20211019,120000,11.2,16.6,7.8,56.0
20211019,123000,12.6,17.9,8.5,54.0
20211019,130000,12.5,17.9,8.2,53.0
20211019,133000,14.2,18.9,9.1,53.0
20211019,140000,13.7,18.6,8.3,51.0
20211019,143000,12.8,18.6,8.0,50.0
20211019,150000,14.2,19.1,8.4,50.0
20211019,153000,14.5,19.1,8.1,49.0
20211019,160000,14.8,19.2,7.6,47.0
20211019,163000,15.0,19.6,8.3,48.0
20211019,170000,14.7,19.6,8.6,49.0
20211019,173000,13.0,18.8,7.9,49.0
20211019,180000,13.3,18.5,8.7,53.0
20211019,183000,12.5,17.8,8.4,54.0
20211019,190000,12.8,16.9,8.6,58.0
20211019,193000,12.3,15.8,8.8,63.0
20211019,200000,11.4,14.5,8.7,68.0
20211019,203000,10.9,14.0,9.0,72.0
20211019,210000,9.7,13.5,9.0,74.0
20211019,213000,9.3,12.7,9.2,79.0
20211019,220000,9.2,11.9,9.1,83.0
20211019,223000,8.5,10.9,8.5,85.0
20211019,230000,8.5,10.5,8.6,88.0
20211019,233000,7.6,9.7,8.3,91.0
20211020,0,7.0,9.2,8.0,92.0
20211020,3000,5.4,8.3,6.4,88.0
20211020,10000,5.8,8.4,5.9,84.0
20211020,13000,6.0,7.4,5.5,88.0
20211020,20000,3.5,6.1,4.4,89.0
20211020,23000,4.0,5.3,4.0,91.0
20211020,30000,3.4,5.7,4.8,94.0
20211020,33000,3.6,5.8,5.2,96.0
20211020,40000,2.6,5.4,5.0,97.0
20211020,43000,2.9,4.6,4.2,97.0
20211020,50000,3.0,4.6,4.5,99.0
20211020,53000,0.7,3.8,3.7,99.0
20211020,60000,2.0,4.4,4.3,99.0
20211020,63000,1.5,3.7,3.6,99.0
20211020,70000,4.3,5.4,5.3,99.0
20211020,73000,6.0,7.7,7.7,100.0
20211020,80000,8.3,10.3,10.1,99.0
20211020,83000,10.8,12.8,10.0,83.0
20211020,90000,13.2,14.9,9.9,72.0
20211020,93000,13.5,16.1,9.5,65.0
20211020,100000,16.5,18.4,10.5,60.0
20211020,103000,16.5,19.2,9.1,52.0
20211020,110000,17.4,20.1,9.1,49.0
20211020,113000,17.4,20.5,8.8,47.0
20220804,33000,10.7,12.0,11.1,94.0
20220804,40000,9.1,10.3,10.3,100.0
20220804,43000,10.7,12.8,12.3,97.0
20220804,50000,10.8,14.2,10.6,79.0
20220804,53000,10.3,12.8,9.6,81.0
20220804,60000,9.3,10.5,9.6,94.0
20220804,63000,7.6,9.5,9.2,98.0
20220804,70000,6.3,8.4,8.4,100.0
20220804,73000,8.7,11.6,11.1,97.0
20220804,80000,9.5,12.5,10.6,88.0
20220804,83000,9.9,12.3,10.0,86.0
20220804,90000,10.4,13.1,10.5,84.0
20220804,93000,10.4,12.7,10.4,86.0
20220804,100000,11.3,13.0,11.1,88.0
20220804,103000,12.9,13.6,11.3,86.0
20220804,110000,12.0,13.4,10.9,85.0
20220804,113000,11.4,13.9,10.9,82.0
20220804,120000,11.6,15.1,8.8,66.0
20220804,123000,14.0,15.8,9.5,66.0
20220804,130000,15.5,17.6,9.8,60.0
20220804,133000,14.1,17.8,8.1,53.0
20220804,140000,12.2,16.5,7.7,56.0
20220804,143000,12.4,16.7,7.9,56.0
20220804,150000,12.7,16.5,9.2,62.0
20220804,153000,12.4,16.4,8.9,61.0
20220804,160000,12.6,16.2,9.8,66.0
20220804,163000,12.4,16.3,8.8,61.0
20220804,170000,11.2,14.7,8.9,68.0
20220804,173000,11.6,13.8,9.3,74.0
20220804,174600,12.5,14.3,9.5,73.0
20220804,175600,13.0,14.4,9.4,72.0
20220804,180000,12.9,14.2,9.2,72.0
20220804,183000,10.8,12.3,8.4,77.0
20220804,190000,9.4,11.1,8.3,83.0
20220804,193000,9.0,11.6,9.2,85.0
20220804,200000,9.6,11.7,9.8,88.0
20220804,203000,9.1,11.9,10.0,88.0
20220804,210000,9.0,11.8,10.0,89.0
20220804,213000,8.2,11.9,9.6,86.0
20220804,220000,8.0,11.8,9.0,83.0
20220804,223000,7.2,10.8,8.4,85.0
20220804,230000,7.9,11.4,8.8,84.0
20220804,233000,7.2,10.4,8.3,87.0
