DateKey,ApparentTemperature,AirTemperature,DewPointTemperature,RelativeHumidity,Day,Weekday,IsWeekend,IsHoliday,DOWInMonth,WeekOfMonth,WeekOfYear,Month,Quarter,Year
20230728,10.40625,11.872916666666667,11.110416666666666,95.375,28,6,0,0,4,5,30,7,3,2023
20230729,8.688541666666667,10.046875,9.817708333333334,98.625,29,7,1,0,5,5,30,7,3,2023
20230730,8.954166666666667,11.535416666666668,8.564583333333333,84.04166666666667,30,1,1,0,5,6,31,7,3,2023
20230731,8.893749999999999,11.36875,9.137500000000001,87.0625,31,2,0,0,5,6,31,7,3,2023
20230801,8.725,10.512500000000001,8.827083333333333,90.02083333333333,1,3,0,0,1,1,31,8,3,2023
20230802,6.360416666666667,8.102083333333333,6.7250000000000005,92.125,2,4,0,0,1,1,31,8,3,2023
20230803,8.784374999999999,10.990625,8.986458333333333,88.9375,3,5,0,0,1,1,31,8,3,2023
20230804,10.147916666666667,12.545833333333334,11.085416666666667,91.66666666666667,4,6,0,0,1,1,31,8,3,2023
20230805,5.1375,8.833333333333334,6.308333333333334,85.33333333333333,5,7,1,0,1,1,31,8,3,2023
20230806,6.183333333333334,8.935416666666667,6.441666666666666,85.77083333333333,6,1,1,0,1,2,32,8,3,2023
20230807,6.59375,8.789583333333333,6.8062499999999995,88.79166666666667,7,2,0,0,1,2,32,8,3,2023
20230808,6.204166666666667,7.983333333333333,5.8187500000000005,88.4375,8,3,0,0,2,2,32,8,3,2023
20230809,6.897916666666667,9.691666666666666,6.835416666666667,84.27083333333333,9,4,0,0,2,2,32,8,3,2023
20230810,7.364583333333333,10.581249999999999,7.958333333333333,84.8125,10,5,0,0,2,2,32,8,3,2023
20230811,7.66875,9.464583333333334,7.48125,88.29166666666667,11,6,0,0,2,2,32,8,3,2023
20230812,8.4125,9.65,9.0875,96.45833333333333,12,7,1,0,2,2,32,8,3,2023
20230813,7.8125,9.946875,7.192708333333333,84.5625,13,1,1,0,2,3,33,8,3,2023
20230814,3.7229166666666664,7.0375000000000005,4.835416666666666,87.10416666666667,14,2,0,0,2,3,33,8,3,2023
20230815,4.666666666666667,7.53125,4.514583333333333,83.4375,15,3,0,0,3,3,33,8,3,2023
20230816,4.022916666666666,6.147916666666667,3.46875,85.9375,16,4,0,0,3,3,33,8,3,2023
20230817,4.677083333333333,6.920833333333333,5.022916666666666,88.83333333333333,17,5,0,0,3,3,33,8,3,2023
20230818,4.838541666666667,8.742708333333333,6.7593749999999995,88.32291666666667,18,6,0,0,3,3,33,8,3,2023
20230819,6.470833333333334,9.0,8.622916666666667,97.60416666666667,19,7,1,0,3,3,33,8,3,2023
20230820,9.832291666666666,11.214583333333332,9.464583333333334,90.16666666666667,20,1,1,0,3,4,34,8,3,2023
20230821,10.674999999999999,12.454166666666666,11.685416666666667,95.45833333333333,21,2,0,0,3,4,34,8,3,2023
20230822,10.689583333333333,12.177083333333334,11.691666666666668,97.08333333333333,22,3,0,0,4,4,34,8,3,2023
20230823,6.078125,8.933333333333334,6.627083333333334,87.08333333333333,23,4,0,0,4,4,34,8,3,2023
20230824,6.327083333333333,8.027083333333334,5.845833333333334,88.14583333333333,24,5,0,0,4,4,34,8,3,2023
20230825,8.262500000000001,9.634375,7.542708333333334,88.8125,25,6,0,0,4,4,34,8,3,2023
20230826,9.348958333333334,10.572916666666666,8.291666666666666,87.875,26,7,1,0,4,4,34,8,3,2023
20230827,10.047916666666667,11.737499999999999,9.529166666666667,88.14583333333333,27,1,1,0,4,5,35,8,3,2023
20230828,10.670833333333334,12.072916666666666,9.68125,87.3125,28,2,0,0,4,5,35,8,3,2023
20230829,11.801041666666668,13.272916666666667,10.660416666666666,85.60416666666667,29,3,0,0,5,5,35,8,3,2023
20230830,10.939583333333333,13.485416666666666,11.220833333333333,86.79166666666667,30,4,0,0,5,5,35,8,3,2023
20230831,7.391666666666667,10.272916666666667,8.310416666666667,88.29166666666667,31,5,0,0,5,5,35,8,3,2023
20230901,7.1625000000000005,10.760416666666666,7.16875,79.91666666666667,1,6,0,0,1,1,35,9,3,2023
20230902,7.0,9.102083333333333,6.070833333333333,83.89583333333333,2,7,1,0,1,1,35,9,3,2023
20230903,8.25,10.716666666666667,7.052083333333333,80.375,3,1,1,0,1,2,36,9,3,2023
20230904,12.158333333333333,15.841666666666667,9.185416666666667,67.10416666666667,4,2,0,0,1,2,36,9,3,2023
20230905,16.8,20.4,10.5,53.0,5,3,0,0,1,2,36,9,3,2023
20230906,16.8,20.4,10.5,53.0,6,4,0,0,1,2,36,9,3,2023
20230907,16.8,20.4,10.5,53.0,7,5,0,0,1,2,36,9,3,2023
20230908,16.8,20.4,10.5,53.0,8,6,0,0,2,2,36,9,3,2023
20230909,16.8,20.4,10.5,53.0,9,7,1,0,2,2,36,9,3,2023
20230910,16.8,20.4,10.5,53.0,10,1,1,0,2,3,37,9,3,2023
20230911,14.362499999999999,16.90625,9.635416666666666,64.72916666666667,11,2,0,0,2,3,37,9,3,2023
20230912,10.43125,11.795833333333334,8.483333333333333,83.25,12,3,0,0,2,3,37,9,3,2023
20230913,11.220833333333333,12.11875,8.8375,83.8125,13,4,0,0,2,3,37,9,3,2023
20230914,13.167708333333332,14.411458333333334,10.619791666666666,80.375,14,5,0,0,2,3,37,9,3,2023
20230915,13.702083333333334,15.554166666666667,9.929166666666667,72.4375,15,6,0,0,3,3,37,9,3,2023
20230916,12.71875,14.46875,8.847916666666666,73.20833333333333,16,7,1,0,3,3,37,9,3,2023
20230917,15.014583333333334,16.052083333333332,10.954166666666666,74.72916666666667,17,1,1,0,3,4,38,9,3,2023
20230918,17.870833333333334,18.814583333333335,12.85,70.22916666666667,18,2,0,0,3,4,38,9,3,2023
